Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-10-18 00:00,1.388,0.010,1,0,0,0,p
2018-10-18 00:06,1.388,0.010,1,0,0,0,p
2018-10-18 00:12,1.401,0.010,1,0,0,0,p
2018-10-18 00:18,1.407,0.010,0,0,0,0,p
2018-10-18 00:24,1.424,0.010,1,0,0,0,p
2018-10-18 00:30,1.424,0.010,1,0,0,0,p
2018-10-18 00:36,1.450,0.010,1,0,0,0,p
2018-10-18 00:42,1.447,0.010,1,0,0,0,p
2018-10-18 00:48,1.460,0.007,1,0,0,0,p
2018-10-18 00:54,1.480,0.010,1,0,0,0,p
2018-10-18 01:00,1.486,0.007,1,0,0,0,p
2018-10-18 01:06,1.509,0.007,1,0,0,0,p
2018-10-18 01:12,1.516,0.016,1,0,0,0,p
2018-10-18 01:18,1.535,0.013,1,0,0,0,p
2018-10-18 01:24,1.539,0.016,1,0,0,0,p
2018-10-18 01:30,1.565,0.013,1,0,0,0,p
2018-10-18 01:36,1.562,0.010,1,0,0,0,p
2018-10-18 01:42,1.581,0.007,1,0,0,0,p
2018-10-18 01:48,1.578,0.007,1,0,0,0,p
2018-10-18 01:54,1.588,0.007,1,0,0,0,p
2018-10-18 02:00,1.591,0.007,1,0,0,0,p
2018-10-18 02:06,1.601,0.010,1,0,0,0,p
2018-10-18 02:12,1.601,0.010,1,0,0,0,p
2018-10-18 02:18,1.611,0.007,1,0,0,0,p
2018-10-18 02:24,1.614,0.007,1,0,0,0,p
2018-10-18 02:30,1.627,0.007,1,0,0,0,p
2018-10-18 02:36,1.611,0.007,1,0,0,0,p
2018-10-18 02:42,1.621,0.007,1,0,0,0,p
2018-10-18 02:48,1.624,0.010,1,0,0,0,p
2018-10-18 02:54,1.627,0.010,1,0,0,0,p
2018-10-18 03:00,1.634,0.007,1,0,0,0,p
2018-10-18 03:06,1.647,0.010,1,0,0,0,p
2018-10-18 03:12,1.640,0.010,1,0,0,0,p
2018-10-18 03:18,1.644,0.010,1,0,0,0,p
2018-10-18 03:24,1.654,0.010,1,0,0,0,p
2018-10-18 03:30,1.650,0.010,0,0,0,0,p
2018-10-18 03:36,1.667,0.010,1,0,0,0,p
2018-10-18 03:42,1.663,0.010,0,0,0,0,p
2018-10-18 03:48,1.663,0.010,1,0,0,0,p
2018-10-18 03:54,1.686,0.010,1,0,0,0,p
2018-10-18 04:00,1.680,0.010,1,0,0,0,p
2018-10-18 04:06,1.693,0.013,0,0,0,0,p
2018-10-18 04:12,1.696,0.013,0,0,0,0,p
2018-10-18 04:18,1.706,0.010,1,0,0,0,p
2018-10-18 04:24,1.713,0.010,1,0,0,0,p
2018-10-18 04:30,1.722,0.010,1,0,0,0,p
2018-10-18 04:36,1.719,0.010,1,0,0,0,p
2018-10-18 04:42,1.726,0.013,1,0,0,0,p
2018-10-18 04:48,1.722,0.010,1,0,0,0,p
2018-10-18 04:54,1.729,0.010,1,0,0,0,p
2018-10-18 05:00,1.736,0.013,1,0,0,0,p
2018-10-18 05:06,1.726,0.010,1,0,0,0,p
2018-10-18 05:12,1.732,0.010,1,0,0,0,p
2018-10-18 05:18,1.736,0.010,1,0,0,0,p
2018-10-18 05:24,1.739,0.010,1,0,0,0,p
2018-10-18 05:30,1.749,0.010,1,0,0,0,p
2018-10-18 05:36,1.759,0.013,0,0,0,0,p
2018-10-18 05:42,1.749,0.010,1,0,0,0,p
2018-10-18 05:48,1.775,0.013,1,0,0,0,p
2018-10-18 05:54,1.768,0.010,1,0,0,0,p
2018-10-18 06:00,1.791,0.016,1,0,0,0,p
2018-10-18 06:06,1.808,0.010,1,0,0,0,p
2018-10-18 06:12,1.818,0.010,1,0,0,0,p
2018-10-18 06:18,1.841,0.010,1,0,0,0,p
2018-10-18 06:24,1.850,0.010,1,0,0,0,p
2018-10-18 06:30,1.857,0.007,1,0,0,0,p
2018-10-18 06:36,1.867,0.007,1,0,0,0,p
2018-10-18 06:42,1.877,0.007,1,0,0,0,p
2018-10-18 06:48,1.886,0.010,1,0,0,0,p
2018-10-18 06:54,1.896,0.007,1,0,0,0,p
2018-10-18 07:00,1.903,0.007,1,0,0,0,p
2018-10-18 07:06,1.903,0.010,0,0,0,0,p
2018-10-18 07:12,1.903,0.007,1,0,0,0,p
2018-10-18 07:18,1.903,0.007,1,0,0,0,p
2018-10-18 07:24,1.900,0.007,1,0,0,0,p
2018-10-18 07:30,1.909,0.007,1,0,0,0,p
2018-10-18 07:36,1.909,0.007,1,0,0,0,p
2018-10-18 07:42,1.909,0.007,1,0,0,0,p
2018-10-18 07:48,1.906,0.007,1,0,0,0,p
2018-10-18 07:54,1.916,0.007,1,0,0,0,p
2018-10-18 08:00,1.916,0.007,1,0,0,0,p
2018-10-18 08:06,1.923,0.007,1,0,0,0,p
2018-10-18 08:12,1.923,0.007,1,0,0,0,p
2018-10-18 08:18,1.946,0.007,1,0,0,0,p
2018-10-18 08:24,1.942,0.007,1,0,0,0,p
2018-10-18 08:30,1.955,0.010,1,0,0,0,p
2018-10-18 08:36,1.955,0.013,0,0,0,0,p
2018-10-18 08:42,1.965,0.010,1,0,0,0,p
2018-10-18 08:48,1.962,0.010,1,0,0,0,p
2018-10-18 08:54,1.965,0.010,1,0,0,0,p
2018-10-18 09:00,1.962,0.010,1,0,0,0,p
2018-10-18 09:06,1.955,0.010,1,0,0,0,p
2018-10-18 09:12,1.962,0.010,0,0,0,0,p
2018-10-18 09:18,1.952,0.010,1,0,0,0,p
2018-10-18 09:24,1.952,0.010,1,0,0,0,p
2018-10-18 09:30,1.942,0.007,1,0,0,0,p
2018-10-18 09:36,1.932,0.007,1,0,0,0,p
2018-10-18 09:42,1.923,0.010,1,0,0,0,p
2018-10-18 09:48,1.913,0.010,1,0,0,0,p
2018-10-18 09:54,1.906,0.007,1,0,0,0,p
2018-10-18 10:00,1.900,0.007,1,0,0,0,p
2018-10-18 10:06,1.900,0.010,1,0,0,0,p
2018-10-18 10:12,1.893,0.007,1,0,0,0,p
2018-10-18 10:18,1.890,0.010,1,0,0,0,p
2018-10-18 10:24,1.883,0.010,1,0,0,0,p
